dataset,seed,n_train_full,n_train_ref,n_test,D,anom_frac,auroc_iso_loo,t_iso_loo_s,auroc_iso_trim_loo,t_iso_trim_loo_s,auroc_trim_isonorm_blend,t_trim_isonorm_blend_s,wallclock_s
35_SpamBase,1,1264,1264,2943,57,0.5705062861026163,0.8561158503026967,4.765361070632935,0.8620651796955693,4.826275825500488,0.8621405711657781,4.8682334423065186,14.473550796508787
35_SpamBase,2,1264,1264,2943,57,0.5705062861026163,0.8642835737064709,4.762218952178955,0.8659073174960985,4.848806142807007,0.8671182929863316,4.894970655441284,14.519550561904907
36_speech,0,1812,1812,1874,400,0.0325506937033084,0.6239997106507645,74.12407755851746,0.6239997106507645,74.04305100440979,0.6895463546517411,74.07101535797119,222.41900324821472
36_speech,1,1812,1812,1874,400,0.0325506937033084,0.6129140180662428,74.12915587425232,0.6129140180662428,74.13595199584961,0.6832710931071587,74.16347575187683,222.56667518615723
36_speech,2,1812,1812,1874,400,0.0325506937033084,0.628394202164694,73.84202766418457,0.628394202164694,73.83598017692566,0.6861826697892272,73.87009406089783,221.68258380889893
37_Stamps,0,154,154,186,9,0.1666666666666666,0.8971904266389178,0.0169177055358886,0.959417273673257,0.0160388946533203,0.959417273673257,0.0946404933929443,0.1525371074676513
37_Stamps,1,154,154,186,9,0.1666666666666666,0.951092611862643,0.0155079364776611,0.951092611862643,0.0156598091125488,0.9508844953173776,0.1208271980285644,0.1552381515502929
37_Stamps,2,154,154,186,9,0.1666666666666666,0.946930280957336,0.0154130458831787,0.9490114464099896,0.0154273509979248,0.9490114464099896,0.0653614997863769,0.0995590686798095
38_thyroid,0,1839,1839,1933,6,0.0481117434040351,0.97346306685367,1.4068684577941897,0.9853202431042544,1.3780488967895508,0.9853377746610568,1.437610149383545,4.2487473487854
38_thyroid,1,1839,1839,1933,6,0.0481117434040351,0.9740240766713416,1.398123025894165,0.9854897148200096,1.399963140487671,0.9852501168770452,1.4481444358825684,4.2519378662109375
38_thyroid,2,1839,1839,1933,6,0.0481117434040351,0.979832865825152,1.389571189880371,0.9877454417952314,1.394939422607422,0.9878155680224404,1.435999870300293,4.226229906082153
39_vertebral,0,105,105,135,6,0.2222222222222222,0.5666666666666667,0.0079259872436523,0.5504761904761905,0.0073564052581787,0.5504761904761905,0.0640621185302734,0.1129133701324462
39_vertebral,1,105,105,135,6,0.2222222222222222,0.5593650793650794,0.0073375701904296,0.527936507936508,0.006953477859497,0.527936507936508,0.0087049007415771,0.0258867740631103
39_vertebral,2,105,105,135,6,0.2222222222222222,0.525079365079365,0.006885290145874,0.525079365079365,0.0070126056671142,0.5495238095238095,0.008756399154663,0.0253658294677734
3_backdoor,0,46500,2000,48829,196,0.0476970652685903,0.944812393523456,82.19939875602722,0.9329616107332972,84.49491453170776,0.9329790717322956,85.49030542373657,253.14856123924255
3_backdoor,1,46500,2000,48829,196,0.0476970652685903,0.919920183566716,82.88193345069885,0.9320098062300032,85.32380080223083,0.9322331241891624,86.3031063079834,255.4333062171936
3_backdoor,2,46500,2000,48829,196,0.0476970652685903,0.9428524864148626,83.1892478466034,0.9317579190847518,84.96436595916748,0.93182052382997,85.93707966804504,255.00584387779236
40_vowels,0,703,703,753,12,0.0664010624169986,0.9952773826458036,0.3296988010406494,0.9952773826458036,0.3310708999633789,0.9922332859174964,0.3591532707214355,1.060065507888794
40_vowels,1,703,703,753,12,0.0664010624169986,0.9897297297297296,0.3279132843017578,0.9897297297297296,0.3289904594421386,0.987908961593172,0.3347282409667969,0.9964323043823242
